"cvegeo","frec"
"0900600010880021",1
"0900200010684021",1
"0901600010270003",2
"0900500010101027",1
"0900700012973025",1
"0900500011171010",1
"0901400010948005",1
"0901000011059007",1
"0901200011462016",1
"0900500010027025",1
"0900700012051001",1
"090110001065A019",2
"0900700010445002",1
"0900700012719011",1
"0900600010931016",1
"090120001045A029",1
"0900500010421021",1
"0901500011290021",1
"0900700014414024",1
"0900600010700010",1
"0900400010176032",1
"090170001055A007",1
"0900700014081011",2
"090110001026A013",1
"0901200010888013",1
"0901000011453033",1
"0901700011295015",1
"0901100010147019",1
"0901600010942006",1
"0901000010173009",1
"090030001086A010",1
"0901300010669006",1
"0900500010313001",2
"0900700015272008",2
"0901200010958004",1
"0900700011369021",1
"0900200011023031",1
"0900300010643011",1
"0901200010820018",1
"090160001068A002",1
"0900600011060005",1
"0900500010949014",1
"0900500013318008",1
"0901300011135026",1
"0900700012494024",2
"0900300010535004",1
"0901100111037024",2
"090170001055A003",3
"090050001039A010",1
"0900600010611004",1
"0901300010160002",1
"0900500011684011",1
"0901200010591009",1
"0900300010198004",1
"0901400010859004",1
"090030001079A004",2
"0900500011275016",1
"0901700010422003",1
"0900800010584019",1
"0900300010272027",1
"0900500012822012",1
"0900700010981020",1
"0901600010707003",1
"0900200010542036",1
"0900700011759012",1
"0900800010546029",2
"0900200010379015",1
"0901300011239032",1
"0900700012738026",1
"0900700015910022",2
"0901000010243016",1
"0901500011426004",1
"0900900240191028",2
"0901000011025003",1
"0901100011253030",1
"0900700011477004",1
"0900800010090025",1
"0900300010465006",1
"0900700014306010",1
"0901400010473003",1
"0901400010914001",1
"0900700012846021",2
"0900700010375031",1
"0901700011100014",1
"090160001043A006",1
"0901200010888017",1
"0900700010182025",1
"0900700011301014",1
"0900300010183014",1
"0900500010366010",1
"0900200010792013",1
"0900500012907015",1
"0900700011180011",1
"0900200010171003",1
"0900700011833010",1
"0901600010707010",1
"0900500010722012",1
"0901700010386002",1
"0900700011833013",1
"0900400010119008",1
"0900200010720010",1
"0900500012377019",1
"0900600010081002",2
"0901000010915019",1
"0901400010261020",1
"090170001009A024",2
"0901200010337015",1
"0901200192475017",1
"0900200010307021",1
"0901000011129003",1
"0901500010305007",1
"0901200011388025",1
"0901200011072029",1
"0901200010197001",1
"0901000011627036",2
"090050001039A003",1
"0901600010088001",1
"0901000011059013",1
"0901000011966009",1
"0901500011252008",1
"0901200010676008",1
"0900600010467001",1
"0901700011115016",1
"0901700010808010",1
"0900500012733012",1
"0900900110420006",1
"0900500012038014",1
"0901000011345003",1
"0901000011294011",1
"0900500011044002",1
"0901700010047003",1
"0901600011160015",1
"090140001076A004",2
"0900700015060024",2
"0900400010123015",1
"0900700010568003",1
"0901000011330054",1
"0900500010366001",2
"090070001255A010",1
"090070001141A016",1
"0900500011538030",1
"0900700013204039",1
"0901000010262007",1
"0901200010197010",1
"0901400010083007",1
"0900700010318024",1
"0900700015499007",1
"0900700012988006",1
"090050001039A019",1
"0901300011154024",1
"0900300010499026",1
"0900300010959026",1
"0900900010331024",1
"0901300011173004",1
"0900500010421006",1
"0900500012288013",1
"0901200011975006",1
"0901000012343022",3
"0901400010257020",1
"090020001003A008",2
"090110021115A005",2
"0901600010270010",1
"0901200010657030",1
"0901200012009005",1
"0900700014128014",1
"0900700012776002",2
"0900700015569008",1
"0900700013204042",1
"0900300010056012",1
"0901200272028006",1
"0900700011246009",2
"0900700015215023",1
"0901700010808013",1
"0901000010775005",1
"0901300011135033",2
"0900500012324020",1
"0900500013093005",1
"0901000011519007",1
"0901700011223007",1
"0901600010321051",1
"0901000010243001",1
"0901300010245001",1
"0901600010957002",1
"0900300011266021",1
"0900500011580014",1
"0901300010391006",1
"0901100011376018",2
"0901200010074006",1
"0900600011198011",1
"090030001143A027",1
"0900300010499009",1
"0900500010173004",1
"0900700012460028",2
"0901400010774017",1
"0901100011499006",2
"0901200012013025",2
"0900500012803004",1
"0900500012220029",1
"0901000010332008",1
"0900500012771003",1
"090100001167A037",1
"0901700010526002",1
"0901200011602003",2
"0900700011513014",1
"0900500011754024",1
"0900600011107001",1
"0900300010963011",2
"0901000011627042",1
"0901200010996025",1
"0900500010953004",1
"090030001015A002",1
"0900700014575043",1
"0901400010308014",1
"090150001070A008",1
"0900500012485030",1
"0900200010218005",1
"0901100010310001",1
"0900200010345003",1
"0901700011365021",1
"0900700011496016",1
"0900500011561021",1
